,location,total_sqft,bath,balcony,price,bhk
2297,Electronic City Phase II,1219.0,2.0,1.0,61.26,2
2298,Electronic City Phase II,1252.0,2.0,3.0,65.0,3
2299,Electronic City Phase II,875.0,2.0,2.0,40.0,3
2300,Electronic City Phase II,1125.0,2.0,1.0,32.49,2
2301,Electronic City Phase II,1310.0,2.0,2.0,37.83,3
2302,Electronic City Phase II,1286.0,2.0,2.0,69.0,2
2303,Electronic City Phase II,1220.0,2.0,1.0,36.21,3
2304,Electronic City Phase II,1140.0,2.0,1.0,32.92,2
2305,Electronic City Phase II,1116.0,2.0,2.0,40.0,2
2306,Electronic City Phase II,1150.0,3.0,3.0,46.0,3
2307,Electronic City Phase II,1192.0,2.0,3.0,47.0,3
2308,Electronic City Phase II,1502.0,3.0,3.0,50.0,3
2309,Electronic City Phase II,1020.0,2.0,2.0,32.0,2
2310,Electronic City Phase II,1900.0,3.0,1.0,97.0,4
2311,Electronic City Phase II,1020.0,2.0,1.0,27.43,2
2312,Electronic City Phase II,1025.0,2.0,1.0,26.65,2
2313,Electronic City Phase II,545.0,1.0,1.0,29.0,2
2314,Electronic City Phase II,1020.0,2.0,1.0,29.45,2
2315,Electronic City Phase II,1000.0,2.0,1.0,28.88,2
2316,Electronic City Phase II,1310.0,2.0,1.0,37.84,3
2317,Electronic City Phase II,1140.0,2.0,2.0,28.5,2
2318,Electronic City Phase II,1125.0,2.0,1.0,32.49,2
2319,Electronic City Phase II,1200.0,2.0,1.0,34.65,2
2320,Electronic City Phase II,1160.0,2.0,1.0,52.2,2
2321,Electronic City Phase II,1244.0,2.0,1.0,55.0,2
2322,Electronic City Phase II,1160.0,2.0,1.0,33.51,2
2323,Electronic City Phase II,1220.0,3.0,1.0,35.25,3
2324,Electronic City Phase II,1625.0,2.0,2.0,48.75,3
2325,Electronic City Phase II,972.0,2.0,1.0,40.0,2
2326,Electronic City Phase II,1160.0,2.0,1.0,33.51,2
2327,Electronic City Phase II,1400.0,2.0,2.0,40.45,3
2328,Electronic City Phase II,1090.0,2.0,1.0,31.48,2
2329,Electronic City Phase II,1140.0,2.0,1.0,32.92,2
2330,Electronic City Phase II,650.0,1.0,1.0,35.0,1
2331,Electronic City Phase II,1155.0,2.0,1.0,57.0,2
2332,Electronic City Phase II,1800.0,3.0,3.0,92.0,3
2333,Electronic City Phase II,1300.0,2.0,2.0,28.0,2
2334,Electronic City Phase II,1940.0,4.0,3.0,116.0,3
2335,Electronic City Phase II,1160.0,2.0,1.0,33.5,2
2336,Electronic City Phase II,1025.0,2.0,1.0,29.6,2
2337,Electronic City Phase II,829.0,2.0,1.0,22.8,2
2338,Electronic City Phase II,2187.5,4.0,0.0,105.0,4
2339,Electronic City Phase II,1252.0,2.0,1.0,67.0,2
2340,Electronic City Phase II,1320.0,2.0,1.0,38.12,3
2341,Electronic City Phase II,1125.0,2.0,1.0,32.63,2
2342,Electronic City Phase II,1140.0,2.0,1.0,34.0,2
2343,Electronic City Phase II,1310.0,2.0,1.0,37.84,3
2344,Electronic City Phase II,1400.0,2.0,2.0,40.43,3
2345,Electronic City Phase II,1252.0,2.0,1.0,65.0,3
2346,Electronic City Phase II,1135.0,2.0,2.0,46.0,2
2347,Electronic City Phase II,1305.0,3.0,1.0,65.0,3
2348,Electronic City Phase II,1165.0,2.0,1.0,33.64,2
2349,Electronic City Phase II,1400.0,2.0,2.0,40.44,3
2350,Electronic City Phase II,1336.0,2.0,3.0,50.35,3
2351,Electronic City Phase II,575.0,1.0,1.0,16.75,1
2352,Electronic City Phase II,925.0,2.0,1.0,49.82,3
2353,Electronic City Phase II,1065.0,2.0,1.0,30.76,2
2354,Electronic City Phase II,1065.0,2.0,1.0,30.75,2
2355,Electronic City Phase II,1140.0,2.0,1.0,33.06,2
2356,Electronic City Phase II,911.0,2.0,1.0,26.5,2
2357,Electronic City Phase II,1200.0,2.0,1.0,34.65,2
2358,Electronic City Phase II,1031.0,2.0,1.0,54.48,2
2359,Electronic City Phase II,545.0,1.0,1.0,28.0,2
2360,Electronic City Phase II,1310.0,2.0,1.0,37.83,3
2361,Electronic City Phase II,1651.0,3.0,1.0,49.53,3
2362,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2
2363,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3
2364,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3
2365,Electronics City Phase 1,1113.27,2.0,2.0,53.0,2
2366,Electronics City Phase 1,1490.0,3.0,1.0,84.0,3
2367,Electronics City Phase 1,1175.0,2.0,2.0,51.47,2
2368,Electronics City Phase 1,1160.0,2.0,1.0,52.0,2
2369,Electronics City Phase 1,920.0,2.0,2.0,33.0,2
2370,Electronics City Phase 1,1750.0,3.0,2.0,84.0,3
2371,Electronics City Phase 1,1350.0,3.0,1.0,55.0,3
2372,Electronics City Phase 1,940.0,2.0,1.0,40.0,2
2373,Electronics City Phase 1,1015.0,2.0,1.0,56.0,2
2374,Electronics City Phase 1,1595.0,3.0,2.0,75.0,3
2375,Electronics City Phase 1,1515.0,2.0,1.0,80.91,3
2376,Electronics City Phase 1,995.0,2.0,0.0,46.0,2
2377,Electronics City Phase 1,1555.0,2.0,1.0,82.0,3
2378,Electronics City Phase 1,1340.0,2.0,2.0,75.0,2
2379,Electronics City Phase 1,1124.0,2.0,2.0,55.0,3
2380,Electronics City Phase 1,1175.0,2.0,1.0,57.0,2
2381,Electronics City Phase 1,755.0,1.0,1.0,42.41,1
2382,Electronics City Phase 1,580.0,1.0,1.0,27.0,1
2383,Electronics City Phase 1,940.0,2.0,2.0,49.0,2
2384,Electronics City Phase 1,1335.0,2.0,2.0,67.0,2
2385,Electronics City Phase 1,1113.12,2.0,2.0,55.0,2
2386,Electronics City Phase 1,995.0,2.0,0.0,42.0,2
2387,Electronics City Phase 1,1350.0,3.0,0.0,71.0,3
2388,Electronics City Phase 1,1445.0,2.0,1.0,56.0,3
2389,Electronics City Phase 1,995.0,2.0,1.0,49.8,2
2390,Electronics City Phase 1,635.0,1.0,0.0,26.0,1
2391,Electronics City Phase 1,1190.0,2.0,1.0,68.0,2
2392,Electronics City Phase 1,1085.0,2.0,1.0,46.0,2
2393,Electronics City Phase 1,1450.0,3.0,2.0,72.54,3
2394,Electronics City Phase 1,360.0,1.0,0.0,16.9,1
2395,Electronics City Phase 1,638.0,1.0,1.0,32.0,1
2396,Electronics City Phase 1,1175.0,2.0,2.0,64.98,2
2397,Electronics City Phase 1,585.0,1.0,1.0,21.0,1
2398,Electronics City Phase 1,1200.0,2.0,2.0,59.76,2
2399,Electronics City Phase 1,1145.0,2.0,1.0,54.0,2
2400,Electronics City Phase 1,1125.0,2.0,2.0,65.0,2
2401,Electronics City Phase 1,1522.5,2.0,2.0,60.75,3
2402,Electronics City Phase 1,1550.0,2.0,2.0,82.0,3
2403,Electronics City Phase 1,1175.0,2.0,1.0,50.0,2
2404,Electronics City Phase 1,865.0,2.0,0.0,40.0,2
2405,Electronics City Phase 1,1450.0,3.0,1.0,70.0,3
2406,Electronics City Phase 1,1450.0,2.0,2.0,63.51,3
2407,Electronics City Phase 1,1450.0,3.0,2.0,58.0,3
2408,Electronics City Phase 1,1800.0,3.0,2.0,93.0,3
2409,Electronics City Phase 1,1314.0,2.0,2.0,60.0,2
2410,Electronics City Phase 1,1170.0,2.0,1.0,62.0,2
2411,Electronics City Phase 1,1450.0,3.0,2.0,79.0,3
2412,Electronics City Phase 1,940.0,2.0,1.0,48.0,2
2413,Electronics City Phase 1,940.0,2.0,1.0,44.0,2
2414,Electronics City Phase 1,1300.0,2.0,1.0,67.0,2
2415,Electronics City Phase 1,1028.0,2.0,1.0,51.0,2
2416,Electronics City Phase 1,1080.0,2.0,2.0,46.0,2
2417,Electronics City Phase 1,1205.0,2.0,2.0,60.0,2
2418,Electronics City Phase 1,1900.0,3.0,2.0,85.0,3
2419,Electronics City Phase 1,1305.0,2.0,1.0,67.0,2
2420,Electronics City Phase 1,755.0,1.0,0.0,30.12,1
2421,Electronics City Phase 1,1175.0,2.0,1.0,60.0,2
2422,Frazer Town,1700.0,3.0,1.0,180.0,3
2423,Frazer Town,1305.0,3.0,2.0,95.45,3
2424,Frazer Town,1870.0,3.0,3.0,185.0,3
2425,Frazer Town,1750.0,3.0,2.0,150.0,3
2426,Frazer Town,4850.0,6.0,2.0,385.0,4
2427,Frazer Town,2000.0,3.0,1.0,200.0,3
2428,Frazer Town,3500.0,4.0,2.0,330.0,3
2429,Frazer Town,2350.0,4.0,3.0,285.0,3
2430,Frazer Town,1550.0,2.0,2.0,140.0,2
2431,Frazer Town,1900.0,4.0,2.0,145.0,3
2432,Frazer Town,2560.0,3.0,2.0,265.0,3
2433,Frazer Town,2400.0,3.0,2.0,260.0,3
2434,Frazer Town,2560.0,3.0,2.0,288.0,3
2435,Frazer Town,3436.0,5.0,2.0,341.0,4
2436,Frazer Town,4856.0,5.0,3.0,410.0,4
2437,Frazer Town,1315.0,2.0,2.0,140.0,2
2438,Frazer Town,1706.0,3.0,3.0,154.0,3
2439,Frazer Town,2079.0,3.0,3.0,220.0,3
2440,Frazer Town,3435.0,2.0,1.0,341.0,4
2441,Frazer Town,3436.0,5.0,2.0,345.0,4
2442,Frazer Town,3100.0,3.0,2.0,400.0,3
2443,Frazer Town,5400.0,3.0,2.0,400.0,3
2444,Frazer Town,1180.0,2.0,1.0,105.0,2
2445,Frazer Town,2900.0,4.0,2.0,325.0,4
2446,Frazer Town,1870.0,3.0,3.0,180.0,3
2447,Frazer Town,896.0,1.0,0.0,100.0,1
2448,Frazer Town,1420.0,2.0,0.0,120.0,2
2449,GM Palaya,1820.0,2.0,3.0,86.0,3
2450,GM Palaya,1225.0,2.0,2.0,47.0,2
2451,GM Palaya,1140.0,2.0,2.0,48.95,2
2452,GM Palaya,1315.0,2.0,2.0,65.0,3
2453,GM Palaya,1315.0,3.0,1.0,65.0,3
2454,GM Palaya,1315.0,3.0,0.0,64.0,3
2455,GM Palaya,1735.0,3.0,2.0,70.0,3
2456,GM Palaya,1643.0,2.0,2.0,70.0,3
2457,Garudachar Palya,1325.0,2.0,2.0,60.8,3
2458,Garudachar Palya,1060.0,2.0,1.0,48.7,2
2459,Garudachar Palya,1150.0,2.0,1.0,52.75,2
2460,Garudachar Palya,1295.0,2.0,1.0,59.5,3
2461,Garudachar Palya,1320.0,2.0,2.0,60.6,3
2462,Garudachar Palya,1295.0,2.0,2.0,59.5,3
2463,Garudachar Palya,1150.0,2.0,2.0,52.8,2
2464,Garudachar Palya,1150.0,2.0,1.0,52.8,2
2465,Garudachar Palya,1060.0,2.0,1.0,48.5,2
2466,Garudachar Palya,1150.0,2.0,1.0,52.5,2
2467,Garudachar Palya,1325.0,2.0,2.0,60.8,3
2468,Garudachar Palya,1060.0,2.0,1.0,48.66,2
2469,Garudachar Palya,1150.0,2.0,2.0,52.0,2
2470,Garudachar Palya,1154.0,2.0,1.0,51.8,2
2471,Garudachar Palya,1325.0,2.0,2.0,60.0,3
2472,Giri Nagar,880.0,3.0,1.0,140.0,3
2473,Giri Nagar,2400.0,4.0,1.0,400.0,4
2474,Giri Nagar,1800.0,3.0,2.0,252.0,3
2475,Giri Nagar,1350.0,3.0,0.0,240.0,3
2476,Giri Nagar,2400.0,4.0,2.0,400.0,4
2477,Giri Nagar,3000.0,4.0,1.0,375.0,6
2478,Giri Nagar,2400.0,6.0,1.0,400.0,6
2479,Giri Nagar,1120.0,4.0,2.0,175.0,4
2480,Giri Nagar,4000.0,3.0,2.0,750.0,4
2481,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2
2482,Gollarapalya Hosahalli,1408.0,3.0,3.0,62.0,3
2483,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2
2484,Gollarapalya Hosahalli,1318.0,3.0,1.0,54.0,3
2485,Gollarapalya Hosahalli,861.0,2.0,0.0,36.5,2
2486,Gollarapalya Hosahalli,1320.0,3.0,2.0,60.0,3
2487,Gollarapalya Hosahalli,1345.0,3.0,2.0,60.0,3
2488,Gollarapalya Hosahalli,1905.0,3.0,2.0,86.0,4
2489,Gollarapalya Hosahalli,1318.0,3.0,2.0,56.0,3
2490,Gollarapalya Hosahalli,1129.0,2.0,1.0,50.0,2
2491,Gottigere,1100.0,2.0,2.0,40.0,2
2492,Gottigere,967.0,2.0,3.0,45.0,2
2493,Gottigere,1618.0,3.0,3.0,82.5,3
2494,Gottigere,1222.0,2.0,1.0,63.0,2
2495,Gottigere,1600.0,2.0,2.0,55.0,3
2496,Gottigere,1300.0,3.0,3.0,65.0,3
2497,Gottigere,950.0,2.0,1.0,38.0,2
2498,Gottigere,1153.0,2.0,1.0,48.5,2
2499,Gottigere,812.0,1.0,0.0,26.0,1
2500,Gottigere,2000.0,4.0,2.0,82.0,4
2501,Gottigere,1460.0,2.0,2.0,65.0,3
2502,Gottigere,1500.0,3.0,2.0,70.0,3
2503,Gottigere,1621.0,3.0,3.0,72.0,3
2504,Gottigere,812.0,1.0,1.0,26.0,1
2505,Gottigere,990.0,2.0,1.0,40.0,2
2506,Gottigere,1235.0,2.0,2.0,63.0,2
2507,Gottigere,1385.0,3.0,2.0,64.0,3
2508,Gottigere,1000.0,2.0,1.0,35.0,2
2509,Gottigere,1010.0,2.0,1.0,35.0,2
2510,Gottigere,1385.0,2.0,2.0,50.0,3
2511,Gottigere,1425.0,2.0,2.0,47.0,3
2512,Gottigere,1435.0,2.0,3.0,62.0,3
2513,Gottigere,945.0,2.0,0.0,45.0,2
2514,Gottigere,1400.0,2.0,1.0,50.0,3
2515,Gottigere,2500.0,3.0,2.0,120.0,4
2516,Gottigere,1230.0,2.0,2.0,52.0,3
2517,Gottigere,1120.0,2.0,2.0,50.0,2
2518,Gottigere,1500.0,3.0,2.0,63.0,3
2519,Gottigere,1200.0,2.0,3.0,40.0,2
2520,Gottigere,1280.0,2.0,1.0,61.0,2
2521,Gottigere,1205.0,2.0,1.0,56.58,2
2522,Gottigere,1170.0,2.0,2.0,40.0,2
2523,Gottigere,3000.0,3.0,0.0,132.0,4
2524,Gottigere,1613.0,3.0,3.0,72.0,3
2525,Gottigere,1110.0,2.0,2.0,36.25,2
2526,Gottigere,1245.0,2.0,2.0,59.0,2
2527,Gottigere,1200.0,2.0,2.0,50.0,2
2528,Green Glen Layout,1670.0,3.0,2.0,120.0,3
2529,Green Glen Layout,3250.0,4.0,3.0,230.0,4
2530,Green Glen Layout,1776.42,3.0,2.0,105.0,3
2531,Green Glen Layout,3250.0,4.0,2.0,230.0,4
2532,Green Glen Layout,940.0,2.0,1.0,56.8,2
2533,Green Glen Layout,1075.0,2.0,1.0,60.0,2
2534,Green Glen Layout,1715.0,3.0,2.0,115.0,3
2535,Green Glen Layout,1751.0,2.0,1.0,115.0,3
2536,Green Glen Layout,1750.0,3.0,2.0,130.0,3
2537,Green Glen Layout,1530.0,3.0,2.0,105.0,3
2538,Green Glen Layout,1752.0,3.0,2.0,105.0,3
2539,Green Glen Layout,1680.0,4.0,3.0,95.0,3
2540,Green Glen Layout,1728.0,3.0,2.0,125.0,3
2541,Green Glen Layout,1645.0,3.0,2.0,110.0,3
2542,Green Glen Layout,1517.0,3.0,3.0,100.0,3
2543,Green Glen Layout,3150.0,4.0,3.0,218.0,4
2544,Green Glen Layout,3270.0,4.0,3.0,205.0,4
2545,Green Glen Layout,1750.0,3.0,2.0,120.0,3
2546,Green Glen Layout,1751.0,3.0,2.0,115.0,3
2547,Green Glen Layout,1750.0,3.0,2.0,105.0,3
2548,Green Glen Layout,1885.0,3.0,2.0,135.0,3
2549,Green Glen Layout,1715.0,3.0,3.0,120.0,3
2550,Green Glen Layout,1623.29,2.0,2.0,105.0,3
2551,Green Glen Layout,1715.0,3.0,3.0,115.0,3
2552,Green Glen Layout,1715.0,3.0,2.0,105.0,3
2553,Green Glen Layout,1600.0,3.0,3.0,105.0,3
2554,Green Glen Layout,1717.0,3.0,3.0,125.0,3
2555,Green Glen Layout,1250.0,2.0,0.0,75.0,2
2556,Green Glen Layout,1715.0,3.0,3.0,112.0,3
2557,Gubbalala,1470.0,2.0,2.0,82.0,3
2558,Gubbalala,1745.0,3.0,2.0,104.0,3
2559,Gubbalala,1745.0,3.0,2.0,115.0,3
2560,Gubbalala,1745.0,3.0,2.0,110.0,3
2561,Gubbalala,1650.0,3.0,2.0,71.0,3
2562,Gubbalala,2570.0,4.0,2.0,141.0,5
2563,Gubbalala,1205.0,2.0,2.0,70.0,2
2564,Gubbalala,1435.0,2.0,2.0,80.0,3
2565,Gubbalala,1475.0,2.0,2.0,80.0,2
2566,Gubbalala,2000.0,4.0,1.0,85.0,4
2567,Gubbalala,1100.0,2.0,2.0,49.5,2
2568,Gubbalala,1060.0,2.0,1.0,46.0,2
2569,Gubbalala,2000.0,3.0,3.0,125.0,3
2570,Gubbalala,4000.0,5.0,1.0,195.0,4
2571,Gunjur,1140.0,2.0,3.0,43.0,2
2572,Gunjur,1356.0,2.0,3.0,66.0,3
2573,Gunjur,1600.0,3.0,3.0,75.0,3
2574,Gunjur,2000.0,3.0,0.0,95.0,4
2575,Gunjur,1140.0,2.0,2.0,49.11,2
2576,Gunjur,1195.0,2.0,2.0,44.0,2
2577,Gunjur,1190.0,2.0,2.0,40.0,2
2578,Gunjur,1457.0,2.0,3.0,60.0,2
2579,Gunjur,1080.0,2.0,2.0,41.0,2
2580,Gunjur,2132.0,3.0,3.0,80.0,3
2581,Gunjur,1800.0,3.0,1.0,70.0,3
2582,Gunjur,1175.0,2.0,2.0,43.48,2
2583,Gunjur,1362.0,3.0,2.0,62.63,3
2584,Gunjur,1071.0,2.0,1.0,51.0,2
2585,Gunjur,1063.0,2.0,2.0,40.0,2
2586,Gunjur,1235.0,2.0,2.0,52.76,2
2587,Gunjur,1362.0,3.0,1.0,62.63,3
2588,Gunjur,1362.0,3.0,1.0,62.63,3
2589,Gunjur,1588.0,2.0,3.0,90.0,3
2590,Gunjur,1235.0,2.0,2.0,44.5,2
2591,Gunjur,1457.0,2.0,3.0,60.0,2
2592,HAL 2nd Stage,1490.0,2.0,2.0,300.0,3
2593,HAL 2nd Stage,600.0,3.0,2.0,145.0,2
2594,HAL 2nd Stage,2700.0,3.0,0.0,500.0,3
2595,HAL 2nd Stage,2040.0,4.0,1.0,500.0,5
2596,HBR Layout,2800.0,2.0,0.0,200.0,3
2597,HBR Layout,1722.0,3.0,2.0,95.0,3
2598,HBR Layout,1200.0,4.0,0.0,120.0,4
2599,HBR Layout,1200.0,2.0,2.0,60.0,2
2600,HBR Layout,1004.0,2.0,1.0,49.0,2
2601,HBR Layout,1783.0,3.0,2.0,125.0,3
2602,HBR Layout,1656.0,3.0,2.0,90.0,3
2603,HBR Layout,1089.0,2.0,1.0,60.0,2
2604,HBR Layout,1700.0,3.0,1.0,110.0,3
2605,HBR Layout,1198.0,2.0,1.0,65.0,2
2606,HBR Layout,1200.0,4.0,2.0,115.0,4
2607,HBR Layout,1200.0,2.0,0.0,120.0,2
2608,HBR Layout,1832.0,3.0,2.0,160.0,3
2609,HRBR Layout,1374.0,2.0,2.0,95.0,2
2610,HRBR Layout,1440.0,2.0,2.0,98.0,2
2611,HRBR Layout,1567.0,3.0,3.0,90.0,3
2612,HRBR Layout,2800.0,3.0,2.0,250.0,3
2613,HRBR Layout,1210.0,2.0,1.0,75.0,2
2614,HRBR Layout,1265.0,2.0,1.0,78.0,2
2615,HRBR Layout,1170.0,2.0,2.0,75.0,2
2616,HRBR Layout,1335.0,2.0,1.0,87.0,3
2617,HRBR Layout,1900.0,3.0,1.0,90.0,4
2618,HRBR Layout,1625.0,3.0,2.0,120.0,3
2619,HRBR Layout,1301.0,2.0,1.0,120.0,2
2620,HRBR Layout,1145.0,2.0,2.0,68.5,2
2621,HRBR Layout,1300.0,2.0,3.0,90.0,2
2622,HSR Layout,1400.0,3.0,2.0,56.0,3
2623,HSR Layout,1372.0,2.0,1.0,68.0,2
2624,HSR Layout,1430.0,2.0,1.0,65.0,3
2625,HSR Layout,1475.0,3.0,2.0,75.0,3
2626,HSR Layout,1467.0,2.0,1.0,55.0,2
2627,HSR Layout,1140.0,2.0,2.0,46.0,2
2628,HSR Layout,1372.0,2.0,1.0,61.0,2
2629,HSR Layout,1750.0,3.0,2.0,95.0,3
2630,HSR Layout,2424.0,3.0,2.0,90.0,3
2631,HSR Layout,1027.0,2.0,2.0,44.0,2
2632,HSR Layout,1650.0,3.0,2.0,110.0,3
2633,HSR Layout,1140.0,2.0,2.0,46.0,2
2634,HSR Layout,1372.0,2.0,1.0,61.0,2
2635,HSR Layout,1140.0,2.0,2.0,46.0,2
2636,HSR Layout,1185.0,2.0,2.0,60.0,2
2637,HSR Layout,1127.0,2.0,1.0,68.0,2
2638,HSR Layout,1600.0,2.0,2.0,115.0,3
2639,HSR Layout,1145.0,2.0,2.0,48.0,2
2640,HSR Layout,1009.0,2.0,2.0,56.0,2
2641,HSR Layout,1300.0,2.0,2.0,98.0,2
2642,HSR Layout,2400.0,3.0,3.0,88.0,3
2643,HSR Layout,1140.0,2.0,2.0,46.0,2
2644,HSR Layout,1126.0,2.0,1.0,69.0,2
2645,HSR Layout,1360.0,2.0,1.0,53.0,3
2646,HSR Layout,1140.0,2.0,2.0,46.0,2
2647,HSR Layout,1145.0,2.0,2.0,46.0,2
2648,HSR Layout,1142.0,2.0,2.0,65.0,2
2649,HSR Layout,1145.0,2.0,2.0,46.0,2
2650,HSR Layout,1844.0,3.0,3.0,95.0,3
2651,HSR Layout,1203.0,2.0,2.0,72.0,2
2652,HSR Layout,1140.0,2.0,2.0,46.0,2
2653,HSR Layout,4200.0,5.0,2.0,245.0,5
2654,HSR Layout,1140.0,2.0,2.0,46.0,2
2655,HSR Layout,1145.0,2.0,2.0,46.0,2
2656,HSR Layout,1009.0,2.0,2.0,56.0,2
2657,HSR Layout,1145.0,2.0,2.0,46.0,2
2658,HSR Layout,1100.0,2.0,2.0,44.0,2
2659,HSR Layout,1203.0,2.0,2.0,60.0,2
2660,HSR Layout,1120.0,2.0,1.0,70.0,2
2661,HSR Layout,1140.0,2.0,2.0,46.0,2
2662,HSR Layout,1289.0,2.0,2.0,70.0,2
2663,HSR Layout,1844.0,3.0,1.0,89.0,3
2664,HSR Layout,1203.0,2.0,2.0,60.0,2
2665,HSR Layout,1140.0,2.0,2.0,46.0,2
2666,Haralur Road,1240.0,2.0,1.0,70.0,2
2667,Haralur Road,1027.0,2.0,2.0,44.0,2
2668,Haralur Road,1464.0,3.0,2.0,56.0,3
2669,Haralur Road,2805.0,5.0,3.0,154.0,4
2670,Haralur Road,1194.0,2.0,2.0,47.0,2
2671,Haralur Road,1202.0,2.0,1.0,53.0,2
2672,Haralur Road,1056.0,2.0,1.0,61.0,2
2673,Haralur Road,1464.0,3.0,2.0,56.0,3
2674,Haralur Road,1810.0,3.0,2.0,100.0,3
2675,Haralur Road,1194.0,2.0,2.0,46.0,2
2676,Haralur Road,2805.0,4.0,3.0,154.0,4
2677,Haralur Road,1225.0,2.0,1.0,67.38,2
2678,Haralur Road,1243.0,2.0,1.0,46.0,2
2679,Haralur Road,1027.0,2.0,2.0,44.0,2
2680,Haralur Road,1920.0,3.0,1.0,115.0,3
2681,Haralur Road,1875.0,3.0,2.0,110.0,3
2682,Haralur Road,1194.0,2.0,2.0,47.0,2
2683,Haralur Road,1140.0,2.0,2.0,43.0,2
2684,Haralur Road,1027.0,2.0,2.0,44.0,2
2685,Haralur Road,1194.0,2.0,2.0,46.0,2
2686,Haralur Road,2017.0,3.0,2.0,125.0,3
2687,Haralur Road,1140.0,2.0,2.0,43.0,2
2688,Haralur Road,1875.0,3.0,3.0,110.0,3
2689,Haralur Road,1092.0,2.0,2.0,44.0,2
2690,Haralur Road,2475.0,4.0,2.0,130.0,3
2691,Haralur Road,1300.0,2.0,2.0,73.0,2
2692,Haralur Road,1194.0,2.0,2.0,47.0,2
2693,Haralur Road,1243.0,2.0,2.0,46.0,2
2694,Haralur Road,1850.0,3.0,2.0,110.0,3
2695,Haralur Road,1225.0,2.0,1.0,67.38,2
2696,Haralur Road,1243.0,2.0,2.0,46.0,2
2697,Haralur Road,3400.0,5.0,3.0,240.0,4
2698,Haralur Road,1464.0,2.0,2.0,56.0,2
2699,Haralur Road,1230.0,2.0,1.0,78.0,2
2700,Haralur Road,1000.0,2.0,2.0,44.0,2
2701,Haralur Road,3185.0,2.0,2.0,175.0,4
2702,Haralur Road,1300.0,2.0,2.0,79.0,2
2703,Haralur Road,1444.0,2.0,1.0,80.0,3
2704,Haralur Road,1088.0,2.0,1.0,68.0,2
2705,Haralur Road,1027.0,2.0,1.0,44.0,2
2706,Haralur Road,1464.0,3.0,2.0,56.0,3
2707,Haralur Road,1225.0,2.0,1.0,70.0,2
2708,Haralur Road,1464.0,3.0,3.0,56.0,3
2709,Haralur Road,1194.0,2.0,2.0,46.0,2
2710,Haralur Road,1830.0,3.0,2.0,101.0,3
2711,Haralur Road,1810.0,3.0,2.0,126.0,3
2712,Haralur Road,1464.0,2.0,2.0,56.0,2
2713,Haralur Road,1520.0,2.0,2.0,96.0,3
2714,Haralur Road,1300.0,2.0,2.0,75.0,2
2715,Haralur Road,2017.0,2.0,2.0,125.0,3
2716,Haralur Road,1243.0,2.0,2.0,46.0,2
2717,Haralur Road,1027.0,2.0,2.0,44.0,2
2718,Haralur Road,2805.0,5.0,3.0,160.0,4
2719,Haralur Road,1243.0,2.0,2.0,46.0,2
2720,Haralur Road,1027.0,2.0,2.0,44.0,2
2721,Haralur Road,2017.0,3.0,2.0,105.0,3
2722,Haralur Road,1243.0,2.0,2.0,46.0,2
2723,Haralur Road,1243.0,2.0,2.0,46.0,2
2724,Haralur Road,1520.0,2.0,2.0,90.0,3
2725,Haralur Road,1300.0,2.0,2.0,60.0,2
2726,Haralur Road,1985.0,3.0,2.0,130.0,3
2727,Haralur Road,1255.0,2.0,1.0,90.0,3
2728,Haralur Road,1056.0,2.0,1.0,60.0,2
2729,Haralur Road,1140.0,2.0,1.0,42.0,2
2730,Haralur Road,1245.0,2.0,3.0,62.0,2
2731,Haralur Road,1140.0,2.0,2.0,58.0,2
2732,Haralur Road,1140.0,2.0,2.0,42.0,2
2733,Haralur Road,1027.0,2.0,2.0,43.0,2
2734,Haralur Road,1194.0,2.0,2.0,47.0,2
2735,Haralur Road,1194.0,2.0,2.0,47.0,2
2736,Haralur Road,1560.0,3.0,1.0,90.0,3
2737,Haralur Road,1520.0,2.0,2.0,85.0,3
2738,Haralur Road,1243.0,2.0,2.0,45.0,2
2739,Haralur Road,1027.0,2.0,2.0,44.0,2
2740,Haralur Road,1194.0,2.0,2.0,46.0,2
2741,Haralur Road,1650.0,3.0,3.0,100.0,3
2742,Haralur Road,1580.0,3.0,1.0,73.0,3
2743,Haralur Road,1243.0,2.0,2.0,46.0,2
2744,Haralur Road,1194.0,2.0,2.0,47.0,2
2745,Haralur Road,2805.0,4.0,3.0,154.0,4
2746,Haralur Road,1520.0,2.0,2.0,96.0,3
2747,Haralur Road,1510.0,3.0,2.0,83.05,3
2748,Haralur Road,1056.0,2.0,1.0,65.0,2
2749,Haralur Road,1810.0,3.0,2.0,100.0,3
2750,Haralur Road,1243.0,2.0,2.0,46.0,2
2751,Haralur Road,575.0,1.0,1.0,38.0,1
2752,Haralur Road,1194.0,2.0,2.0,46.0,2
2753,Haralur Road,1243.0,2.0,2.0,46.0,2
2754,Haralur Road,1194.0,2.0,2.0,46.0,2
2755,Haralur Road,1140.0,2.0,2.0,43.0,2
2756,Haralur Road,1850.0,3.0,2.0,120.0,3
2757,Haralur Road,1194.0,2.0,2.0,47.0,2
2758,Haralur Road,1194.0,2.0,2.0,47.0,2
2759,Haralur Road,1464.0,3.0,2.0,56.0,3
